locus_tag,gene,product,bp_length
LKICNHNN_01365,oppF,Oligopeptide transport ATP-binding protein OppF,783
LKICNHNN_01366,,hypothetical protein,132
LKICNHNN_01367,,hypothetical protein,123
LKICNHNN_01368,alr,"Alanine racemase, biosynthetic",1116
LKICNHNN_01369,gcvP,Glycine dehydrogenase (decarboxylating),2805
LKICNHNN_01370,gcvH,Glycine cleavage system H protein,369
LKICNHNN_01371,gcvT,Aminomethyltransferase,1113
LKICNHNN_01373,lon2,Lon protease 2,663
LKICNHNN_01374,,hypothetical protein,207
LKICNHNN_01375,,hypothetical protein,381
LKICNHNN_01376,asd2,Aspartate-semialdehyde dehydrogenase 2,1032
LKICNHNN_01377,,hypothetical protein,648
LKICNHNN_01378,metQ,D-methionine-binding lipoprotein MetQ,825
LKICNHNN_01379,metN,Methionine import ATP-binding protein MetN,1035
LKICNHNN_01380,metP,Methionine import system permease protein MetP,660
LKICNHNN_01381,,hypothetical protein,258
LKICNHNN_01382,,putative enoyl-CoA hydratase 1,480
LKICNHNN_01383,,hypothetical protein,1332
LKICNHNN_01384,,hypothetical protein,486
LKICNHNN_01385,,hypothetical protein,345
LKICNHNN_01386,,hypothetical protein,153
LKICNHNN_01387,,hypothetical protein,297
LKICNHNN_01388,mftE,Putative mycofactocin system creatinine amidohydrolase family protein MftE,744
LKICNHNN_01389,yjiA_2,P-loop guanosine triphosphatase YjiA,1032
LKICNHNN_01390,,hypothetical protein,978
LKICNHNN_01391,,hypothetical protein,111
LKICNHNN_01392,,hypothetical protein,132
LKICNHNN_01393,,hypothetical protein,3324
LKICNHNN_01394,,hypothetical protein,159
LKICNHNN_01395,,hypothetical protein,417
LKICNHNN_01396,,hypothetical protein,183
LKICNHNN_01397,,hypothetical protein,204
LKICNHNN_01398,,hypothetical protein,3477
LKICNHNN_01399,,hypothetical protein,2877
LKICNHNN_01400,,hypothetical protein,120
LKICNHNN_01401,,hypothetical protein,3276
LKICNHNN_01402,,hypothetical protein,6081
LKICNHNN_01403,yclQ,Petrobactin-binding protein YclQ,951
LKICNHNN_01404,yclN,Petrobactin import system permease protein YclN,957
LKICNHNN_01405,yclO,Petrobactin import system permease protein YclO,951
LKICNHNN_01406,yclP,Petrobactin import ATP-binding protein YclP,759
LKICNHNN_01408,intA_2,Prophage integrase IntA,891
LKICNHNN_01409,,hypothetical protein,279
LKICNHNN_01410,,hypothetical protein,270
LKICNHNN_01412,cpdR,Response regulator receiver protein CpdR,363
LKICNHNN_01413,,hypothetical protein,918
LKICNHNN_01414,ibpA_2,Small heat shock protein IbpA,468
LKICNHNN_01416,iscA,Iron-binding protein IscA,375
LKICNHNN_01417,mazG,Nucleoside triphosphate pyrophosphohydrolase,816
LKICNHNN_01418,lpxL,Lipid A biosynthesis lauroyltransferase,930
LKICNHNN_01419,tdh,L-threonine 3-dehydrogenase,1029
LKICNHNN_01420,fabF_2,3-oxoacyl-[acyl-carrier-protein] synthase 2,1275
LKICNHNN_01421,,hypothetical protein,1176
LKICNHNN_01422,acpXL,Acyl carrier protein AcpXL,285
LKICNHNN_01423,dme,NAD-dependent malic enzyme,2319
LKICNHNN_01424,,hypothetical protein,4560
LKICNHNN_01425,hfq,RNA-binding protein Hfq,240
LKICNHNN_01426,hflX,GTPase HflX,1344
LKICNHNN_01427,,hypothetical protein,1827
LKICNHNN_01428,ctaA,Heme A synthase,1092
LKICNHNN_01429,argC,N-acetyl-gamma-glutamyl-phosphate reductase,933
LKICNHNN_01430,glyA,Serine hydroxymethyltransferase,1314
LKICNHNN_01431,nrdR,Transcriptional repressor NrdR,483
LKICNHNN_01432,ribD,Riboflavin biosynthesis protein RibD,1128
LKICNHNN_01433,ribE,Riboflavin synthase,618
LKICNHNN_01434,ribH1,"6,7-dimethyl-8-ribityllumazine synthase 1",456
LKICNHNN_01435,nusB,Transcription antitermination protein NusB,471
LKICNHNN_01436,bamE,Outer membrane protein assembly factor BamE,480
LKICNHNN_01437,,hypothetical protein,558
LKICNHNN_01438,plsX,Phosphate acyltransferase,1071
LKICNHNN_01439,fabH,3-oxoacyl-[acyl-carrier-protein] synthase 3,975
LKICNHNN_01440,ihfA,Integration host factor subunit alpha,324
LKICNHNN_01441,,hypothetical protein,504
LKICNHNN_01442,thrS,Threonine--tRNA ligase,1977
LKICNHNN_01443,yidD,Putative membrane protein insertion efficiency factor,351
LKICNHNN_01444,,hypothetical protein,438
LKICNHNN_01445,folE,GTP cyclohydrolase 1,624
LKICNHNN_01447,intA_3,Prophage integrase IntA,1173
LKICNHNN_01448,,hypothetical protein,276
LKICNHNN_01449,,hypothetical protein,624
LKICNHNN_01450,,hypothetical protein,825
LKICNHNN_01451,,hypothetical protein,372
LKICNHNN_01452,,hypothetical protein,999
LKICNHNN_01453,,hypothetical protein,504
LKICNHNN_01454,,hypothetical protein,327
LKICNHNN_01455,,hypothetical protein,318
LKICNHNN_01456,,hypothetical protein,273
LKICNHNN_01457,,hypothetical protein,330
LKICNHNN_01458,,hypothetical protein,369
LKICNHNN_01459,,hypothetical protein,195
LKICNHNN_01460,,hypothetical protein,471
LKICNHNN_01461,,hypothetical protein,1167
LKICNHNN_01462,,hypothetical protein,435
LKICNHNN_01463,,hypothetical protein,438
LKICNHNN_01465,lpxD_2,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,753
LKICNHNN_01466,,hypothetical protein,438
LKICNHNN_01467,ssb_3,Single-stranded DNA-binding protein,438
LKICNHNN_01468,,hypothetical protein,582
LKICNHNN_01469,,hypothetical protein,600
LKICNHNN_01470,,hypothetical protein,693
LKICNHNN_01471,,hypothetical protein,2307
LKICNHNN_01472,,hypothetical protein,732
LKICNHNN_01473,,hypothetical protein,1080
LKICNHNN_01474,,hypothetical protein,186
LKICNHNN_01475,,hypothetical protein,279
LKICNHNN_01476,,hypothetical protein,390
LKICNHNN_01477,,hypothetical protein,801
LKICNHNN_01478,,hypothetical protein,426
LKICNHNN_01479,,hypothetical protein,744
LKICNHNN_01481,,hypothetical protein,153
LKICNHNN_01482,murA_1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,1296
LKICNHNN_01483,murA_2,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,183
LKICNHNN_01484,,hypothetical protein,171
LKICNHNN_01485,,hypothetical protein,396
LKICNHNN_01486,,hypothetical protein,180
LKICNHNN_01487,,hypothetical protein,450
LKICNHNN_01488,leuB,3-isopropylmalate dehydrogenase,2175
LKICNHNN_01489,,hypothetical protein,189
LKICNHNN_01490,,hypothetical protein,144
LKICNHNN_01491,,hypothetical protein,561
LKICNHNN_01492,ydhC_2,Inner membrane transport protein YdhC,351
LKICNHNN_01493,ymdB,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",822
LKICNHNN_01494,,5-formyltetrahydrofolate cyclo-ligase,606
LKICNHNN_01496,,hypothetical protein,231
LKICNHNN_01497,,hypothetical protein,297
LKICNHNN_01498,,hypothetical protein,783
LKICNHNN_01499,,hypothetical protein,174
LKICNHNN_01500,,hypothetical protein,378
LKICNHNN_01501,,hypothetical protein,147
LKICNHNN_01502,purK,N5-carboxyaminoimidazole ribonucleotide synthase,1083
LKICNHNN_01503,,hypothetical protein,381
LKICNHNN_01504,purE,N5-carboxyaminoimidazole ribonucleotide mutase,495
LKICNHNN_01505,,hypothetical protein,153
LKICNHNN_01506,dsbB_1,Disulfide bond formation protein B,582
LKICNHNN_01507,,hypothetical protein,147
LKICNHNN_01508,infA,Translation initiation factor IF-1,219
LKICNHNN_01509,yhdE,dTTP/UTP pyrophosphatase,789
LKICNHNN_01510,yacG,DNA gyrase inhibitor YacG,285
LKICNHNN_01511,,hypothetical protein,159
LKICNHNN_01512,,hypothetical protein,402
LKICNHNN_01513,,hypothetical protein,402
LKICNHNN_01514,,hypothetical protein,261
LKICNHNN_01515,,hypothetical protein,618
LKICNHNN_01516,,hypothetical protein,390
LKICNHNN_01517,,hypothetical protein,1098
LKICNHNN_01518,,hypothetical protein,1224
LKICNHNN_01519,,hypothetical protein,138
LKICNHNN_01520,clpB,Chaperone protein ClpB,2580
LKICNHNN_01521,,hypothetical protein,333
LKICNHNN_01522,,hypothetical protein,225
LKICNHNN_01523,,hypothetical protein,306
LKICNHNN_01524,,hypothetical protein,891
LKICNHNN_01526,,hypothetical protein,606
LKICNHNN_01527,dsbB_2,Disulfide bond formation protein B,570
LKICNHNN_01528,,hypothetical protein,216
LKICNHNN_01529,,hypothetical protein,633
LKICNHNN_01530,,hypothetical protein,810
LKICNHNN_01531,dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,540
LKICNHNN_01532,tolR,Tol-Pal system protein TolR,591
LKICNHNN_01533,exbB,Biopolymer transport protein ExbB,876
LKICNHNN_01534,,hypothetical protein,339
LKICNHNN_01535,,hypothetical protein,453
LKICNHNN_01536,,hypothetical protein,732
LKICNHNN_01537,,hypothetical protein,348
LKICNHNN_01538,virB3_3,Type IV secretion system protein virB3,327
LKICNHNN_01539,virB4_3,Type IV secretion system protein virB4,2361
LKICNHNN_01540,,hypothetical protein,756
LKICNHNN_01541,,hypothetical protein,291
LKICNHNN_01542,,hypothetical protein,324
LKICNHNN_01543,,hypothetical protein,210
LKICNHNN_01544,,hypothetical protein,258
LKICNHNN_01545,,hypothetical protein,252
LKICNHNN_01546,,hypothetical protein,420
LKICNHNN_01547,,hypothetical protein,192
LKICNHNN_01548,,hypothetical protein,384
LKICNHNN_01549,virB6_2,Type IV secretion system protein VirB6,897
LKICNHNN_01550,,hypothetical protein,291
LKICNHNN_01551,virB8_3,Type IV secretion system protein virB8,672
LKICNHNN_01552,virB9_3,Type IV secretion system protein virB9,852
LKICNHNN_01553,,Type IV secretion system protein virB10,1182
LKICNHNN_01554,,Type IV secretion system protein VirB11,1053
LKICNHNN_01555,,hypothetical protein,222
LKICNHNN_01556,vbhT,Protein adenylyltransferase VbhT,1524
LKICNHNN_01557,,Antitoxin VbhA,189
LKICNHNN_01558,higA_2,Antitoxin HigA,249
LKICNHNN_01559,glmM,Phosphoglucosamine mutase,1371
LKICNHNN_01560,ftsH,ATP-dependent zinc metalloprotease FtsH,2172
LKICNHNN_01561,tilS,tRNA(Ile)-lysidine synthase,1479
LKICNHNN_01562,cpoB,Cell division coordinator CpoB,1776
LKICNHNN_01563,,hypothetical protein,516
LKICNHNN_01564,,hypothetical protein,219
LKICNHNN_01565,,hypothetical protein,120
LKICNHNN_01566,,hypothetical protein,120
LKICNHNN_01567,,hypothetical protein,177
LKICNHNN_01568,,hypothetical protein,579
LKICNHNN_01569,,hypothetical protein,288
LKICNHNN_01570,,hypothetical protein,1152
LKICNHNN_01571,,hypothetical protein,363
LKICNHNN_01572,,hypothetical protein,381
LKICNHNN_01573,,hypothetical protein,195
LKICNHNN_01574,,hypothetical protein,198
LKICNHNN_01575,,hypothetical protein,567
LKICNHNN_01576,,hypothetical protein,546
LKICNHNN_01577,,hypothetical protein,492
LKICNHNN_01578,,hypothetical protein,177
LKICNHNN_01579,,hypothetical protein,582
LKICNHNN_01580,yopJ_1,Effector protein YopJ,957
LKICNHNN_01581,,hypothetical protein,498
LKICNHNN_01582,yopJ_2,Effector protein YopJ,423
LKICNHNN_01583,,hypothetical protein,156
LKICNHNN_01584,,hypothetical protein,261
LKICNHNN_01585,,hypothetical protein,675
LKICNHNN_01586,,hypothetical protein,237
LKICNHNN_01587,,hypothetical protein,201
LKICNHNN_01588,,hypothetical protein,162
LKICNHNN_01589,,hypothetical protein,228
LKICNHNN_01590,,hypothetical protein,330
LKICNHNN_01591,,hypothetical protein,363
LKICNHNN_01592,groL,60 kDa chaperonin,1644
LKICNHNN_01593,groS1,10 kDa chaperonin 1,297
LKICNHNN_01594,,hypothetical protein,186
LKICNHNN_01595,intA_4,Prophage integrase IntA,1167
LKICNHNN_01596,,hypothetical protein,1164
LKICNHNN_01597,,hypothetical protein,888
LKICNHNN_01598,,hypothetical protein,1125
LKICNHNN_01599,,hypothetical protein,381
LKICNHNN_01600,,hypothetical protein,285
LKICNHNN_01601,,hypothetical protein,339
LKICNHNN_01602,,hypothetical protein,708
LKICNHNN_01603,,hypothetical protein,1461
LKICNHNN_01604,,hypothetical protein,426
LKICNHNN_01605,,hypothetical protein,882
LKICNHNN_01606,,hypothetical protein,138
LKICNHNN_01607,,hypothetical protein,1323
LKICNHNN_01608,,hypothetical protein,2064
LKICNHNN_01609,,hypothetical protein,639
LKICNHNN_01610,,hypothetical protein,1002
LKICNHNN_01611,,hypothetical protein,1014
LKICNHNN_01612,,hypothetical protein,1110
LKICNHNN_01613,,hypothetical protein,222
LKICNHNN_01614,,hypothetical protein,153
LKICNHNN_01615,,hypothetical protein,315
LKICNHNN_01616,,hypothetical protein,1362
LKICNHNN_01617,,hypothetical protein,1851
LKICNHNN_01618,,hypothetical protein,774
LKICNHNN_01619,,hypothetical protein,1119
LKICNHNN_01620,,hypothetical protein,696
LKICNHNN_01621,,hypothetical protein,162
LKICNHNN_01622,,hypothetical protein,1464
LKICNHNN_01623,,hypothetical protein,483
LKICNHNN_01624,,hypothetical protein,1140
LKICNHNN_01625,,hypothetical protein,1005
LKICNHNN_01626,pal,Peptidoglycan-associated lipoprotein,522
LKICNHNN_01627,,hypothetical protein,696
LKICNHNN_01628,,putative transcriptional regulatory protein,747
LKICNHNN_01629,tolB,Tol-Pal system protein TolB,1326
LKICNHNN_01630,,hypothetical protein,1518
LKICNHNN_01631,exbD,Biopolymer transport protein ExbD,453
LKICNHNN_01632,tolQ,Tol-Pal system protein TolQ,714
LKICNHNN_01633,,hypothetical protein,294
LKICNHNN_01634,ybgC,Acyl-CoA thioesterase YbgC,441
LKICNHNN_01635,ruvB_2,Holliday junction ATP-dependent DNA helicase RuvB,1092
LKICNHNN_01636,ruvA,Holliday junction ATP-dependent DNA helicase RuvA,615
LKICNHNN_01637,ruvC,Crossover junction endodeoxyribonuclease RuvC,675
LKICNHNN_01638,,hypothetical protein,1989
LKICNHNN_01639,,hypothetical protein,141
LKICNHNN_01640,,hypothetical protein,126
LKICNHNN_01641,,hypothetical protein,933
LKICNHNN_01642,,hypothetical protein,741
LKICNHNN_01643,,hypothetical protein,273
LKICNHNN_01644,,hypothetical protein,219
LKICNHNN_01645,,hypothetical protein,228
LKICNHNN_01646,zur,Zinc uptake regulation protein,393
LKICNHNN_01647,emrA_2,Colistin resistance protein EmrA,1077
LKICNHNN_01648,emrB,Colistin resistance protein EmrB,1572
LKICNHNN_01649,,hypothetical protein,579
LKICNHNN_01650,ldc,Lysine/ornithine decarboxylase,1134
LKICNHNN_01653,,hypothetical protein,930
LKICNHNN_01654,,hypothetical protein,135
LKICNHNN_01655,,hypothetical protein,162
LKICNHNN_01656,,hypothetical protein,1017
LKICNHNN_01657,phyR,Phyllosphere-induced regulator PhyR,795
LKICNHNN_01658,,hypothetical protein,204
LKICNHNN_01659,ecfG,ECF RNA polymerase sigma factor EcfG,555
LKICNHNN_01660,,hypothetical protein,1422
LKICNHNN_01661,,hypothetical protein,1980
LKICNHNN_01668,,hypothetical protein,201
LKICNHNN_01669,,hypothetical protein,444
LKICNHNN_01670,,hypothetical protein,444
LKICNHNN_01671,,hypothetical protein,771
LKICNHNN_01672,,hypothetical protein,429
LKICNHNN_01673,,hypothetical protein,366
LKICNHNN_01674,,hypothetical protein,567
LKICNHNN_01675,,hypothetical protein,984
LKICNHNN_01676,,hypothetical protein,141
LKICNHNN_01677,,hypothetical protein,3183
LKICNHNN_01678,badA,Autotransporter adhesin BadA,3198
LKICNHNN_01679,,hypothetical protein,690
LKICNHNN_01680,lpxD_3,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,1236
LKICNHNN_01681,,hypothetical protein,3126
LKICNHNN_01682,,hypothetical protein,903
LKICNHNN_01683,,hypothetical protein,1188
LKICNHNN_01684,,hypothetical protein,495
LKICNHNN_01685,,hypothetical protein,351
LKICNHNN_01686,,hypothetical protein,531
LKICNHNN_01687,,hypothetical protein,582
LKICNHNN_01688,,hypothetical protein,447
LKICNHNN_01689,gpFI_2,Putative prophage major tail sheath protein,1290
LKICNHNN_01690,,hypothetical protein,519
LKICNHNN_01691,,hypothetical protein,414
LKICNHNN_01692,,hypothetical protein,2334
LKICNHNN_01693,,hypothetical protein,675
LKICNHNN_01694,,hypothetical protein,618
LKICNHNN_01696,,hypothetical protein,1983
LKICNHNN_01697,,hypothetical protein,876
LKICNHNN_01698,,hypothetical protein,1329
LKICNHNN_01699,,hypothetical protein,336
LKICNHNN_01700,,hypothetical protein,300
LKICNHNN_01701,,hypothetical protein,477
LKICNHNN_01702,,hypothetical protein,432
LKICNHNN_01703,,hypothetical protein,705
LKICNHNN_01704,,hypothetical protein,291
LKICNHNN_01705,relE2_2,Toxin RelE2,273
LKICNHNN_01706,,hypothetical protein,705
LKICNHNN_01707,,hypothetical protein,231
LKICNHNN_01708,,hypothetical protein,324
LKICNHNN_01709,,hypothetical protein,1155
LKICNHNN_01710,,hypothetical protein,369
LKICNHNN_01711,,hypothetical protein,486
LKICNHNN_01712,,hypothetical protein,1107
LKICNHNN_01713,,hypothetical protein,120
LKICNHNN_01714,,hypothetical protein,261
LKICNHNN_01715,,hypothetical protein,2685
LKICNHNN_01716,,hypothetical protein,264
LKICNHNN_01717,,hypothetical protein,1602
LKICNHNN_01718,,hypothetical protein,1206
LKICNHNN_01719,,hypothetical protein,270
LKICNHNN_01720,,hypothetical protein,1581
LKICNHNN_01721,,hypothetical protein,1206
LKICNHNN_01722,,hypothetical protein,399
LKICNHNN_01723,,hypothetical protein,675
LKICNHNN_01724,,hypothetical protein,405
LKICNHNN_01725,,hypothetical protein,1764
LKICNHNN_01726,,hypothetical protein,102
LKICNHNN_01727,,hypothetical protein,696
LKICNHNN_01728,,hypothetical protein,627
LKICNHNN_01729,,hypothetical protein,156
LKICNHNN_01730,,hypothetical protein,726
LKICNHNN_01731,,hypothetical protein,351
LKICNHNN_01732,,hypothetical protein,696
LKICNHNN_01733,,hypothetical protein,498
LKICNHNN_01734,lpxD_4,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,834
LKICNHNN_01736,,hypothetical protein,423
LKICNHNN_01737,,hypothetical protein,231
LKICNHNN_01738,,hypothetical protein,663
LKICNHNN_01739,,hypothetical protein,330
LKICNHNN_01740,,hypothetical protein,375
LKICNHNN_01742,,hypothetical protein,774
LKICNHNN_01743,,hypothetical protein,666
LKICNHNN_01744,,hypothetical protein,762
LKICNHNN_01745,,hypothetical protein,528
LKICNHNN_01746,,hypothetical protein,471
LKICNHNN_01747,,hypothetical protein,222
LKICNHNN_01748,,hypothetical protein,381
LKICNHNN_01749,,hypothetical protein,1755
LKICNHNN_01750,,hypothetical protein,1221
LKICNHNN_01751,,hypothetical protein,1206
LKICNHNN_01752,,hypothetical protein,1059
LKICNHNN_01753,,hypothetical protein,342
LKICNHNN_01754,,hypothetical protein,1107
LKICNHNN_01755,,hypothetical protein,120
LKICNHNN_01756,,hypothetical protein,351
LKICNHNN_01757,,hypothetical protein,324
LKICNHNN_01758,,hypothetical protein,372
LKICNHNN_01759,,hypothetical protein,1221
LKICNHNN_01760,,hypothetical protein,246
LKICNHNN_01761,ehpR,Phenazine antibiotic resistance protein EhpR,390
LKICNHNN_01762,,hypothetical protein,696
LKICNHNN_01763,,hypothetical protein,270
LKICNHNN_01764,,hypothetical protein,270
LKICNHNN_01765,,hypothetical protein,270
LKICNHNN_01766,,hypothetical protein,264
LKICNHNN_01767,,hypothetical protein,294
LKICNHNN_01768,tufA,Elongation factor Tu,1176
LKICNHNN_01769,,hypothetical protein,768
LKICNHNN_01770,intS,Prophage integrase IntS,666
LKICNHNN_01771,,hypothetical protein,738
LKICNHNN_01772,,hypothetical protein,120
LKICNHNN_01773,,hypothetical protein,528
LKICNHNN_01774,,hypothetical protein,186
LKICNHNN_01775,,hypothetical protein,618
LKICNHNN_01776,,hypothetical protein,186
LKICNHNN_01777,,hypothetical protein,618
LKICNHNN_01778,,hypothetical protein,501
LKICNHNN_01779,,hypothetical protein,345
LKICNHNN_01780,,hypothetical protein,345
LKICNHNN_01781,,hypothetical protein,345
LKICNHNN_01782,,hypothetical protein,156
LKICNHNN_01783,,hypothetical protein,501
LKICNHNN_01784,,hypothetical protein,366
LKICNHNN_01785,,hypothetical protein,387
LKICNHNN_01786,,hypothetical protein,387
LKICNHNN_01787,,hypothetical protein,423
LKICNHNN_01788,,hypothetical protein,288
LKICNHNN_01789,,hypothetical protein,273
LKICNHNN_01790,,hypothetical protein,540
LKICNHNN_01791,,hypothetical protein,399
LKICNHNN_01792,,hypothetical protein,399
LKICNHNN_01793,,hypothetical protein,141
LKICNHNN_01794,,hypothetical protein,189
LKICNHNN_01795,,hypothetical protein,327
LKICNHNN_01796,,hypothetical protein,384
LKICNHNN_01797,,hypothetical protein,219
LKICNHNN_01798,,hypothetical protein,303
LKICNHNN_01799,,hypothetical protein,234
LKICNHNN_01800,fpr,Flavodoxin/ferredoxin--NADP reductase,210
LKICNHNN_01801,,hypothetical protein,216
LKICNHNN_01802,,hypothetical protein,216
BGR_RS10160,,kinase/pyrophosphorylase,825
BGR_RS00015,,Maf family nucleotide pyrophosphatase,597
BGR_RS00020,,shikimate dehydrogenase,873
BGR_RS00025,coaE,dephospho-CoA kinase,585
BGR_RS00030,dnaQ,DNA polymerase III subunit epsilon,708
BGR_RS00035,polA,DNA polymerase I,2910
BGR_RS00040,,endonuclease/exonuclease/phosphatase family protein,864
BGR_RS00045,,Bax inhibitor-1/YccA family protein,774
BGR_RS00050,lspA,signal peptidase II,504
BGR_RS00055,,RNA methyltransferase,855
BGR_RS00060,,class I SAM-dependent methyltransferase,936
BGR_RS00065,,lipopolysaccharide assembly protein LapA domain-containing protein,297
BGR_RS00070,ihfB,integration host factor subunit beta,279
BGR_RS00075,lptC,LPS export ABC transporter periplasmic protein LptC,645
BGR_RS00080,,sugar ABC transporter substrate-binding protein,600
BGR_RS00085,lptB,LPS export ABC transporter ATP-binding protein,795
BGR_RS00090,ptsN,PTS IIA-like nitrogen regulatory protein PtsN,465
BGR_RS00095,,invasion associated locus B family protein,504
BGR_RS00100,rlmN,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,1227
BGR_RS00105,,LysE family translocator,648
BGR_RS00110,,argininosuccinate synthase,1248
BGR_RS00115,,lysine--tRNA ligase,1662
BGR_RS00120,,peptide chain release factor 3,1575
BGR_RS00130,addB,double-strand break repair protein AddB,3120
BGR_RS00135,addA,double-strand break repair helicase AddA,3477
BGR_RS00140,trxA,thioredoxin,324
BGR_RS00145,,bifunctional alanine racemase/tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,471
BGR_RS00150,,PAS-domain containing protein,2466
BGR_RS00155,ahcY,adenosylhomocysteinase,1398
BGR_RS00160,,complex I NDUFA9 subunit family protein,999
BGR_RS00165,,bifunctional folylpolyglutamate synthase/dihydrofolate synthase,1320
BGR_RS00170,accD,"acetyl-CoA carboxylase, carboxyltransferase subunit beta",921
BGR_RS00175,,sulfate transporter family protein,720
BGR_RS00180,coaBC,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,1422
BGR_RS00185,ubiB,2-polyprenylphenol 6-hydroxylase,1587
BGR_RS00190,ubiE,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE",783
BGR_RS00195,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,2433
BGR_RS00205,,transporter substrate-binding domain-containing protein,900
BGR_RS00210,,YifB family Mg chelatase-like AAA ATPase,1533
BGR_RS00215,,autotransporter assembly complex protein TamA,1965
BGR_RS00220,,translocation/assembly module TamB domain-containing protein,4659
BGR_RS00230,,ABC transporter ATP-binding protein/permease,1773
BGR_RS00235,,hypothetical protein,186
BGR_RS00240,infC,translation initiation factor IF-3,519
BGR_RS00245,,alpha/beta hydrolase,780
BGR_RS00250,,M48 family metallopeptidase,747
BGR_RS00255,dapE,succinyl-diaminopimelate desuccinylase,1173
BGR_RS00260,hemW,radical SAM family heme chaperone HemW,1200
BGR_RS00265,rdgB,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,648
BGR_RS00270,hrcA,heat-inducible transcriptional repressor HrcA,1071
BGR_RS00275,grpE,nucleotide exchange factor GrpE,663
BGR_RS00280,thpR,"RNA 2',3'-cyclic phosphodiesterase",540
BGR_RS00285,,HPr family phosphocarrier protein,294
BGR_RS00290,,PTS sugar transporter subunit IIA,399
BGR_RS00295,,HPr kinase/phosphatase C-terminal domain-containing protein,465
BGR_RS00300,,sensor histidine kinase,1785
BGR_RS00305,,response regulator transcription factor,723
BGR_RS00310,lysM,peptidoglycan-binding protein LysM,456
BGR_RS00315,,copper chaperone PCu(A)C,555
BGR_RS00320,dnaK,molecular chaperone DnaK,1893
BGR_RS00325,dnaJ,molecular chaperone DnaJ,1143
BGR_RS00330,argB,acetylglutamate kinase,906
BGR_RS00335,,DMT family transporter,915
BGR_RS00340,lepA,translation elongation factor 4,1806
BGR_RS11000,,hypothetical protein,147
BGR_RS00345,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",849
BGR_RS00350,,LOG family protein,864
BGR_RS00355,truA,tRNA pseudouridine(38-40) synthase TruA,744
BGR_RS00360,fmt,methionyl-tRNA formyltransferase,930
BGR_RS00365,def,peptide deformylase,537
BGR_RS00370,rmuC,DNA recombination protein RmuC,1182
BGR_RS00375,,membrane protein,585
BGR_RS00385,,TIGR02300 family protein,381
BGR_RS00390,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,1329
BGR_RS00395,cmk,(d)CMP kinase,648
BGR_RS00400,rpsA,30S ribosomal protein S1,1701
BGR_RS00405,,protein ndvB,8571
BGR_RS00410,pncB,nicotinate phosphoribosyltransferase,1305
BGR_RS00415,,YbaN family protein,387
BGR_RS00420,,metal ABC transporter permease,906
BGR_RS00425,,metal ABC transporter permease,867
BGR_RS00430,,manganese/iron ABC transporter ATP-binding protein,831
BGR_RS00435,,metal ABC transporter substrate-binding protein,909
BGR_RS00440,pheT,phenylalanine--tRNA ligase subunit beta,2415
BGR_RS00445,pheS,phenylalanine--tRNA ligase subunit alpha,1083
BGR_RS00450,rplT,50S ribosomal protein L20,402
BGR_RS00455,rpmI,50S ribosomal protein L35,204
BGR_RS00460,nth,endonuclease III,741
BGR_RS00465,,Hsp20 family protein,432
BGR_RS00470,,DUF1150 domain-containing protein,252
BGR_RS11005,,hypothetical protein,153
BGR_RS00475,ilvD,dihydroxy-acid dehydratase,1839
BGR_RS00480,mutS,DNA mismatch repair protein MutS,2745
BGR_RS00485,,NADP-dependent malic enzyme,2301
BGR_RS00490,secB,protein-export chaperone SecB,477
BGR_RS00495,,FxsA family protein,495
BGR_RS00500,,Tim44/TimA family putative adaptor protein,693
BGR_RS00505,,Smr/MutS family protein,591
BGR_RS00510,,GcrA family cell cycle regulator,534
BGR_RS00515,,aspartate aminotransferase family protein,1215
BGR_RS00520,argF,ornithine carbamoyltransferase,936
BGR_RS00525,,Hsp33 family molecular chaperone,987
BGR_RS00530,,DsbE family thiol:disulfide interchange protein,594
BGR_RS11270,,heme exporter protein CcmD,252
BGR_RS00540,,heme ABC transporter permease,780
BGR_RS00545,ccmB,heme exporter protein CcmB,666
BGR_RS00550,ccmA,heme ABC exporter ATP-binding protein CcmA,612
BGR_RS00555,acnA,aconitate hydratase AcnA,2688
BGR_RS00560,rpsT,30S ribosomal protein S20,267
BGR_RS00565,dnaA,chromosomal replication initiator protein DnaA,1572
BGR_RS00570,dnaN,DNA polymerase III subunit beta,1122
BGR_RS00575,recF,DNA replication/repair protein RecF,1134
